_id,address,cid,city,fid,imageUrl,location/lat,location/lng,placeId,postalCode,street,title,nature,animal,architect,history,culture,hiking,park,museum,religion,amusement,senic,botanical,sport,saveCount
676b0d3449a89bca4c4a75da,"Wehrneckarstraße 13, 73728 Esslingen am Neckar, Germany",17042521108941304250,Esslingen,0x4799c1316955f03f:0xec8332a7478af1ba,https://lh5.googleusercontent.com/p/AF1QipPIrbiWDia3nAJFSMRdP8-raM91TpMDtV5wlOyM=w408-h306-k-no,48.7398786,9.3074869,ChIJP_BVaTHBmUcRuvGKR6cyg-w,73728,Wehrneckarstraße 13,Maille Park,0,0,0,0,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a75db,"Dr.-Harry-Wiegand-Straße 4, 88410 Bad Wurzach",9967149702096498361,Bad Wurzach,0x479bbe6be8e0e44d:0x8a526dd8889a2eb9,https://lh5.googleusercontent.com/p/AF1QipMRyuBll49EWUQNIKZ25CTpJ-O-P-CCKnY74F_w=w408-h816-k-no,47.909545,9.8795716,ChIJTeTg6Gu-m0cRuS6aiNhtUoo,88410,Dr.-Harry-Wiegand-Straße 4,Oberschwäbisches Torfmuseum,0,0,0,0,0,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a75dc,"Alte Bachgasse 11, 88339 Bad Waldsee",124337314249946752,Bad Waldsee,0x479bb15ace7dd12f:0x1b9bc20e831b685,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wnwGqVe7i4fLbaQ8FbCLKQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=100.011566&pitch=0&thumbfov=100,47.8999776,9.6993248,ChIJL9F9zlqxm0cRhbYx6CC8uQE,88339,Alte Bachgasse 11,Park am Durlesbach Bad Waldsee,0,0,0,0,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a75dd,"Unterurbacher Weg 78, 88339 Bad Waldsee",12910073243058089168,Bad Waldsee,0x479bb9329d3f7665:0xb329cb36ccc0acd0,https://lh5.googleusercontent.com/p/AF1QipNhaA6OJZe_m6y1wsh88PxB-VEW6vJJMd0bc1uX=w408-h306-k-no,47.910958,9.7606545,ChIJZXY_nTK5m0cR0KzAzDbLKbM,88339,Unterurbacher Weg 78,Kurpark Krumhalde,0,0,0,0,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a75de,"Schloßpl. 4, 70173 Stuttgart, Germany",5366991967889891328,Stuttgart,0x4799db354028e71d:0x4a7b62c25e739e69,https://lh5.googleusercontent.com/p/AF1QipOAC4n4WRUktKTlMubI1hPmIv-I79g_vvi-SAv_=w408-h306-k-no,48.7779689,9.1818709,ChIJHecoQDXbmUcRaZ5zXsJie0o,70173,Schloßpl. 4,Neues Schloss Stuttgart,0,0,1,1,0,0,0,0,0,0,0,0,0,
676b0d3449a89bca4c4a75df,"70191 Stuttgart, Germany",4512672850934909952,Stuttgart,0x4799dad779416a05:0x3ea03c0c7b864be1,https://lh5.googleusercontent.com/p/AF1QipNpETKTmvsQmTzdxUACONFcp1q2C2Nt8_MRl39b=w508-h240-k-no,48.8007363,9.1771144,ChIJBWpBedfamUcR4UuGeww8oD4,70191,,Weissenhof Estate,0,0,0,1,0,0,0,1,0,0,1,0,0,
676b0d3449a89bca4c4a75e0,"Am Schlossgarten 15/1, 70173 Stuttgart, Germany",8893047337811381248,Stuttgart,0x4799db3319e10c5f:0x7b6a736fb4fb0d84,https://lh5.googleusercontent.com/p/AF1QipOpiul-awMUQ6jfbq9PQ_dLDmKx0nguFq6KEH6V=w408-h268-k-no,48.7844654,9.1838428,ChIJXwzhGTPbmUcRhA37tG9zans,70173,Am Schlossgarten 15/1,InfoTurmStuttgart,0,0,0,0,0,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a75e1,"Florianstraße 17, 70188 Stuttgart, Germany",11324484755225403186,Stuttgart,0x4799c4c332d4827f:0x9d28a6e29b895f32,https://lh5.googleusercontent.com/p/AF1QipMHi_jnfJe7iRhX4ZVF7msQ-jgq3VM2vxWsvxVL=w408-h306-k-no,48.7844127,9.2067033,ChIJf4LUMsPEmUcRMl-Jm-KmKJ0,70188,Florianstraße 17,Heritage Museum of Germans from Bessarabia,0,0,0,0,0,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a75e2,"Stiftstraße 12, 70173 Stuttgart, Germany",12504920006605179732,Stuttgart,0x4799db4a7612b3d5:0xad8a667dfa608b54,https://lh5.googleusercontent.com/p/AF1QipNL_tL_dCJ_gOG1xM5qo1E3FvHhv9oBBtps_dM=w408-h544-k-no,48.776647,9.1778987,ChIJ1bMSdkrbmUcRVItg-n1miq0,70173,Stiftstraße 12,"Stiftskirche, Stuttgart",0,0,1,0,0,0,0,0,1,0,0,0,0,
676b0d3449a89bca4c4a75e3,"Platz d. Menschenrechte 2, 30159 Hannover, Germany",9448298989209147498,Hanover,0x47b074b62a639f45:0x831f19df177e586a,https://lh5.googleusercontent.com/p/AF1QipOdniBuQI2uhBcREw0ypL8bd0GMHoCrP9JGP9s0=w426-h240-k-no,52.3659895,9.738335,ChIJRZ9jKrZ0sEcRalh-F98ZH4M,30159,Platz d. Menschenrechte 2,Masch Park,0,0,0,0,0,0,1,0,0,0,1,0,0,
676b0d3449a89bca4c4a75e4,"Dürnachstraße 7, 88416 Ochsenhausen",9708690596358997629,Ochsenhausen,0x479bc1fcbb6feee5:0x86bc32a89627467d,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tXCsJ9wH02ulIbWZefj61g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=315.68448&pitch=0&thumbfov=100,48.0456173,9.881432,ChIJ5e5vu_zBm0cRfUYnlqgyvIY,88416,Dürnachstraße 7,Dorfbrunnen Mittelbuch,0,0,0,0,0,0,1,0,0,0,0,0,0,
